                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.0388,                0.67039,                 1.0393,                0.61501,                0.60009,                0.62776,                 0.4526,                 1.3196,                0.78243,                 1.0839,               0.008251,               0.008251,               0.008251
                     56,                  1.041,                0.67659,                 1.0411,                0.60343,                0.59462,                0.61968,                0.44538,                 1.3197,                0.80841,                 1.0898,               0.008218,               0.008218,               0.008218
                     57,                 1.0261,                0.68284,                 1.0345,                0.60637,                0.61341,                0.65812,                0.46122,                 1.2535,                0.82769,                 1.0771,               0.008185,               0.008185,               0.008185
                     58,                 1.0093,                0.68311,                 1.0453,                0.71724,                0.67209,                0.69821,                0.46742,                 1.2575,                0.77945,                 1.0857,               0.008152,               0.008152,               0.008152
                     59,                0.99615,                0.68063,                 1.0543,                0.71042,                0.73149,                0.74684,                0.49144,                 1.2191,                0.76242,                 1.0826,               0.008119,               0.008119,               0.008119
                     60,                0.99801,                0.68503,                 1.0486,                0.74489,                0.70677,                0.74932,                0.49295,                 1.2195,                0.75312,                 1.0634,               0.008086,               0.008086,               0.008086
                     61,                0.96183,                0.66718,                 1.0469,                0.75472,                 0.6982,                 0.7568,                0.49636,                 1.2164,                0.76771,                 1.0661,               0.008053,               0.008053,               0.008053
                     62,                0.98912,                0.68836,                 1.0566,                0.72186,                0.69938,                0.74382,                0.49352,                 1.1927,                 0.7766,                  1.062,                0.00802,                0.00802,                0.00802
                     63,                0.95548,                0.67479,                 1.0498,                0.75692,                0.68567,                0.75041,                0.49412,                 1.2126,                0.77267,                 1.0679,               0.007987,               0.007987,               0.007987
                     64,                0.97422,                0.67436,                 1.0493,                0.76475,                0.69646,                0.75948,                0.50155,                 1.2037,                0.74348,                 1.0654,               0.007954,               0.007954,               0.007954
                     65,                0.97191,                0.67205,                 1.0462,                0.85064,                0.71122,                0.74662,                0.50244,                 1.1934,                0.75469,                 1.0631,               0.007921,               0.007921,               0.007921
                     66,                0.95847,                0.66215,                 1.0472,                0.70693,                0.71178,                0.75123,                0.50023,                 1.2079,                 0.7437,                 1.0705,               0.007888,               0.007888,               0.007888
                     67,                0.95356,                 0.6497,                 1.0365,                0.71718,                0.69492,                 0.7379,                0.50578,                  1.183,                0.75561,                 1.0486,               0.007855,               0.007855,               0.007855
                     68,                0.95883,                0.65663,                  1.045,                0.71082,                0.68527,                0.72403,                0.47841,                 1.2147,                0.76825,                 1.0605,               0.007822,               0.007822,               0.007822
                     69,                0.94638,                 0.6641,                 1.0442,                 0.6961,                0.73141,                0.74467,                0.49369,                 1.2038,                0.75279,                 1.0565,               0.007789,               0.007789,               0.007789
                     70,                0.95014,                0.65579,                 1.0405,                0.75187,                0.69952,                0.75383,                0.50735,                 1.1848,                  0.739,                 1.0545,               0.007756,               0.007756,               0.007756
                     71,                0.95309,                0.65185,                 1.0351,                0.72505,                 0.7332,                0.75881,                0.51057,                 1.1777,                0.72393,                 1.0463,               0.007723,               0.007723,               0.007723
                     72,                 0.9455,                0.65585,                 1.0429,                0.70176,                0.73657,                 0.7567,                0.50691,                 1.1973,                0.71777,                 1.0602,                0.00769,                0.00769,                0.00769
